0.490533,0.0968368,0,0,-1
0.990524,0.0938235,0.490533,0.0968368,0
0.455758,0.595626,0.490533,0.0968368,0
1.47806,0.204765,0.990524,0.0938235,0
1.97753,0.227841,1.47806,0.204765,0
1.51315,0.413176,1.97753,0.227841,0
2.46832,0.323349,1.97753,0.227841,0
0.352961,1.08494,0.455758,0.595626,0
1.21847,0.817117,1.51315,0.413176,0
0.186907,1.55657,0.352961,1.08494,0
0.194422,2.05651,0.186907,1.55657,0
-0.169349,1.9074,0.186907,1.55657,0
0.673026,2.20121,0.194422,2.05651,0
2.96616,0.369744,2.46832,0.323349,0
0.718478,0.814812,1.21847,0.817117,0
3.46616,0.371657,2.96616,0.369744,0
3.30588,0.00287862,2.96616,0.369744,0
3.96437,0.329371,3.46616,0.371657,0
3.5802,0.649398,3.96437,0.329371,0
3.496,0.154354,3.96437,0.329371,0
1.1474,2.35922,0.673026,2.20121,0
0.391145,2.61418,0.673026,2.20121,0
1.40804,1.93252,1.1474,2.35922,0
1.85985,2.14667,1.40804,1.93252,0
2.5,2.5,1.85985,2.14667,0
2.5,2.5,2.5,2.5,1
